,vix_level,intraday_vol_5,intraday_vol_10,ewm_vol_10,ewm_vol_5,vix_ma_5,realized_vol_10,volatility_10,realized_vol_5,volatility_5,rv_weekly,rv_daily,ewm_vol_20,garman_klass_5,garman_klass_10,vol_lag_1,vix_std_20,volatility_20,realized_vol_20,vol_lag_2,rv_monthly,vol_lag_3,vol_lag_5,vix_ma_20,target_vol_5d
vix_level,1.0000,0.8695,0.8692,0.8724,0.8401,0.9665,0.8472,0.8472,0.8149,0.8149,0.8149,0.8149,0.8775,0.7777,0.7897,0.7949,0.7606,0.8327,0.8327,0.7734,0.8276,0.7510,0.7121,0.8601,0.7201
intraday_vol_5,0.8695,1.0000,0.9354,0.9104,0.8942,0.8845,0.8919,0.8919,0.8940,0.8940,0.8940,0.8940,0.8750,0.9065,0.8615,0.8810,0.7719,0.8230,0.8230,0.8530,0.8098,0.8099,0.7101,0.7180,0.7000
intraday_vol_10,0.8692,0.9354,1.0000,0.9336,0.8757,0.9095,0.9450,0.9450,0.8526,0.8526,0.8526,0.8526,0.9334,0.8352,0.9146,0.8680,0.8052,0.9075,0.9075,0.8759,0.8952,0.8765,0.8575,0.8140,0.6894
ewm_vol_10,0.8724,0.9104,0.9336,1.0000,0.9759,0.8906,0.9802,0.9802,0.9501,0.9501,0.9501,0.9501,0.9725,0.8598,0.8923,0.9250,0.8373,0.9275,0.9275,0.9011,0.9134,0.8765,0.8228,0.7787,0.6892
ewm_vol_5,0.8401,0.8942,0.8757,0.9759,1.0000,0.8388,0.9358,0.9358,0.9741,0.9741,0.9741,0.9741,0.9092,0.8486,0.8378,0.9060,0.7843,0.8381,0.8381,0.8502,0.8211,0.8049,0.7220,0.6811,0.6841
vix_ma_5,0.9665,0.8845,0.9095,0.8906,0.8388,1.0000,0.8797,0.8797,0.8212,0.8212,0.8212,0.8212,0.9100,0.7864,0.8243,0.8275,0.7791,0.8753,0.8753,0.8231,0.8706,0.8102,0.7706,0.9152,0.6738
realized_vol_10,0.8472,0.8919,0.9450,0.9802,0.9358,0.8797,1.0000,1.0000,0.9093,0.9093,0.9093,0.9093,0.9571,0.8493,0.9097,0.9167,0.8245,0.9168,0.9168,0.9200,0.8996,0.9170,0.8979,0.7680,0.6680
volatility_10,0.8472,0.8919,0.9450,0.9802,0.9358,0.8797,1.0000,1.0000,0.9093,0.9093,0.9093,0.9093,0.9571,0.8493,0.9097,0.9167,0.8245,0.9168,0.9168,0.9200,0.8996,0.9170,0.8979,0.7680,0.6680
realized_vol_5,0.8149,0.8940,0.8526,0.9501,0.9741,0.8212,0.9093,0.9093,1.0000,1.0000,1.0000,1.0000,0.8805,0.8549,0.8193,0.9311,0.7596,0.8065,0.8065,0.8644,0.7895,0.7985,0.6628,0.6525,0.6618
volatility_5,0.8149,0.8940,0.8526,0.9501,0.9741,0.8212,0.9093,0.9093,1.0000,1.0000,1.0000,1.0000,0.8805,0.8549,0.8193,0.9311,0.7596,0.8065,0.8065,0.8644,0.7895,0.7985,0.6628,0.6525,0.6618
rv_weekly,0.8149,0.8940,0.8526,0.9501,0.9741,0.8212,0.9093,0.9093,1.0000,1.0000,1.0000,1.0000,0.8805,0.8549,0.8193,0.9311,0.7596,0.8065,0.8065,0.8644,0.7895,0.7985,0.6628,0.6525,0.6618
rv_daily,0.8149,0.8940,0.8526,0.9501,0.9741,0.8212,0.9093,0.9093,1.0000,1.0000,1.0000,1.0000,0.8805,0.8549,0.8193,0.9311,0.7596,0.8065,0.8065,0.8644,0.7895,0.7985,0.6628,0.6525,0.6618
ewm_vol_20,0.8775,0.8750,0.9334,0.9725,0.9092,0.9100,0.9571,0.9571,0.8805,0.8805,0.8805,0.8805,1.0000,0.8106,0.8796,0.8802,0.8406,0.9778,0.9778,0.8781,0.9741,0.8730,0.8551,0.8716,0.6606
garman_klass_5,0.7777,0.9065,0.8352,0.8598,0.8486,0.7864,0.8493,0.8493,0.8549,0.8549,0.8549,0.8549,0.8106,1.0000,0.9195,0.8494,0.7815,0.7596,0.7596,0.8261,0.7414,0.7867,0.6858,0.5890,0.6510
garman_klass_10,0.7897,0.8615,0.9146,0.8923,0.8378,0.8243,0.9097,0.9097,0.8193,0.8193,0.8193,0.8193,0.8796,0.9195,1.0000,0.8380,0.8183,0.8585,0.8585,0.8484,0.8414,0.8523,0.8378,0.6966,0.6490
vol_lag_1,0.7949,0.8810,0.8680,0.9250,0.9060,0.8275,0.9167,0.9167,0.9311,0.9311,0.9311,0.9311,0.8802,0.8494,0.8380,1.0000,0.7644,0.8223,0.8223,0.9311,0.8057,0.8644,0.7310,0.6758,0.6384
vix_std_20,0.7606,0.7719,0.8052,0.8373,0.7843,0.7791,0.8245,0.8245,0.7596,0.7596,0.7596,0.7596,0.8406,0.7815,0.8183,0.7644,1.0000,0.8287,0.8287,0.7624,0.8189,0.7536,0.7246,0.6939,0.6215
volatility_20,0.8327,0.8230,0.9075,0.9275,0.8381,0.8753,0.9168,0.9168,0.8065,0.8065,0.8065,0.8065,0.9778,0.7596,0.8585,0.8223,0.8287,1.0000,1.0000,0.8361,0.9938,0.8463,0.8600,0.8847,0.6134
realized_vol_20,0.8327,0.8230,0.9075,0.9275,0.8381,0.8753,0.9168,0.9168,0.8065,0.8065,0.8065,0.8065,0.9778,0.7596,0.8585,0.8223,0.8287,1.0000,1.0000,0.8361,0.9938,0.8463,0.8600,0.8847,0.6134
vol_lag_2,0.7734,0.8530,0.8759,0.9011,0.8502,0.8231,0.9200,0.9200,0.8644,0.8644,0.8644,0.8644,0.8781,0.8261,0.8484,0.9311,0.7624,0.8361,0.8361,1.0000,0.8198,0.9311,0.7991,0.6968,0.6098
rv_monthly,0.8276,0.8098,0.8952,0.9134,0.8211,0.8706,0.8996,0.8996,0.7895,0.7895,0.7895,0.7895,0.9741,0.7414,0.8414,0.8057,0.8189,0.9938,0.9938,0.8198,1.0000,0.8313,0.8468,0.8950,0.6016
vol_lag_3,0.7510,0.8099,0.8765,0.8765,0.8049,0.8102,0.9170,0.9170,0.7985,0.7985,0.7985,0.7985,0.8730,0.7867,0.8523,0.8644,0.7536,0.8463,0.8463,0.9311,0.8313,1.0000,0.8648,0.7156,0.5847
vol_lag_5,0.7121,0.7101,0.8575,0.8228,0.7220,0.7706,0.8979,0.8979,0.6628,0.6628,0.6628,0.6628,0.8551,0.6858,0.8378,0.7310,0.7246,0.8600,0.8600,0.7991,0.8468,0.8648,1.0000,0.7459,0.5324
vix_ma_20,0.8601,0.7180,0.8140,0.7787,0.6811,0.9152,0.7680,0.7680,0.6525,0.6525,0.6525,0.6525,0.8716,0.5890,0.6966,0.6758,0.6939,0.8847,0.8847,0.6968,0.8950,0.7156,0.7459,1.0000,0.5232
target_vol_5d,0.7201,0.7000,0.6894,0.6892,0.6841,0.6738,0.6680,0.6680,0.6618,0.6618,0.6618,0.6618,0.6606,0.6510,0.6490,0.6384,0.6215,0.6134,0.6134,0.6098,0.6016,0.5847,0.5324,0.5232,1.0000
